Request_id,Pickup_point,Driver_id,Status,Request_timestamp,Drop_timestamp,Date,Hour
1,Airport,285,Trip Completed,12:20 AM,12:51 AM,11-07-2016,0
2,Airport,0,No Cars Available,12:23 AM,0,11-07-2016,0
3,Airport,80,Trip Completed,12:24 AM,1:31 AM,11-07-2016,0
4,City,0,No Cars Available,12:37 AM,0,11-07-2016,0
5,Airport,264,Trip Completed,12:36 AM,1:35 AM,11-07-2016,0
6,City,0,No Cars Available,12:36 AM,0,11-07-2016,0
7,Airport,0,No Cars Available,12:30 AM,0,11-07-2016,0
8,City,0,No Cars Available,12:40 AM,0,11-07-2016,0
9,Airport,235,Trip Completed,12:45 AM,2:00 AM,11-07-2016,0
10,City,228,Trip Completed,12:54 AM,1:59 AM,11-07-2016,0
11,City,198,Trip Completed,1:00 AM,1:53 AM,11-07-2016,1
12,City,0,No Cars Available,1:08 AM,0,11-07-2016,1
13,City,119,Trip Completed,1:08 AM,1:58 AM,11-07-2016,1
14,Airport,0,No Cars Available,1:10 AM,0,11-07-2016,1
15,City,0,No Cars Available,1:15 AM,0,11-07-2016,1
16,Airport,0,No Cars Available,1:09 AM,0,11-07-2016,1
17,Airport,0,No Cars Available,1:16 AM,0,11-07-2016,1
18,City,201,Cancelled,1:16 AM,0,11-07-2016,1
19,City,0,No Cars Available,1:14 AM,0,11-07-2016,1
20,Airport,0,No Cars Available,1:23 AM,0,11-07-2016,1
21,Airport,194,Trip Completed,1:29 AM,2:05 AM,11-07-2016,1
22,Airport,0,No Cars Available,1:40 AM,0,11-07-2016,1
23,City,0,No Cars Available,1:38 AM,0,11-07-2016,1
24,Airport,0,No Cars Available,1:48 AM,0,11-07-2016,1
25,Airport,0,No Cars Available,1:45 AM,0,11-07-2016,1
26,Airport,0,No Cars Available,1:49 AM,0,11-07-2016,1
27,Airport,0,No Cars Available,1:49 AM,0,11-07-2016,1
28,City,0,No Cars Available,2:02 AM,0,11-07-2016,2
29,City,0,No Cars Available,1:55 AM,0,11-07-2016,1
30,Airport,297,Trip Completed,2:04 AM,2:37 AM,11-07-2016,2
31,City,0,No Cars Available,2:10 AM,0,11-07-2016,2
32,Airport,0,No Cars Available,2:15 AM,0,11-07-2016,2
33,Airport,170,Trip Completed,2:17 AM,3:31 AM,11-07-2016,2
34,City,78,Trip Completed,2:20 AM,3:34 AM,11-07-2016,2
35,City,107,Trip Completed,2:36 AM,3:03 AM,11-07-2016,2
36,City,0,No Cars Available,2:33 AM,0,11-07-2016,2
37,Airport,0,No Cars Available,2:34 AM,0,11-07-2016,2
38,City,0,No Cars Available,2:39 AM,0,11-07-2016,2
